 PNT     A3          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1  -38.0000      500      166      4.78        1        0   41.2058  -38.0000  -56.3475   11.8002 
   2  -37.8000      500      177      1.37        2        0   41.2058  -37.8000  -56.3475   11.8001 
   3  -37.6000      500      214      1.05        2        0   41.2058  -37.6000  -56.3475   11.8001 
   4  -37.4000      500      185      0.85        1        0   41.2058  -37.4000  -56.3475   11.8001 
   5  -37.2000      500      182      0.80        1        0   41.2058  -37.2000  -56.3475   11.8001 
   6  -37.0000      500      202      0.81        2        1   41.2058  -37.0000  -56.3475   11.8002 
   7  -36.8000      500      193      0.81        2        0   41.2058  -36.8000  -56.3475   11.8001 
   8  -36.6000      500      185      0.82        2        0   41.2058  -36.6000  -56.3475   11.8002 
   9  -36.4000      500      204      0.88        1        1   41.2058  -36.4000  -56.3475   11.8002 
  10  -36.2000      500      198      0.85        2        0   41.2058  -36.2000  -56.3475   11.8001 
  11  -36.0000      500      211      0.78        2        0   41.2058  -36.0000  -56.3475   11.8000 
  12  -35.8000      500      191      0.79        3        1   41.2058  -35.8000  -56.3475   11.8000 
  13  -35.6000      500      199      0.84        1        0   41.2058  -35.6000  -56.3475   11.8001 
  14  -35.4000      500      210      0.87        1        1   41.2058  -35.4000  -56.3475   11.8002 
  15  -35.2000      500      202      0.82        3        0   41.2058  -35.2000  -56.3475   11.8003 
  16  -35.0000      500      226      0.86       10        0   41.2058  -35.0000  -56.3475   11.8003 
  17  -34.8000      500      183      0.79       13        0   41.2058  -34.8000  -56.3475   11.8000 
  18  -34.6000      500      186      0.80       18        1   41.2058  -34.6000  -56.3475   11.8001 
  19  -34.4000      500      185      0.77       39        0   41.2058  -34.4000  -56.3475   11.8001 
  20  -34.2000      500      192      0.84       63        4   41.2058  -34.2000  -56.3475   11.8002 
  21  -34.0000      500      198      0.77       96        0   41.2058  -34.0000  -56.3475   11.8002 
  22  -33.8000      500      201      0.82      189        1   41.2058  -33.8000  -56.3475   11.8001 
  23  -33.6000      500      192      0.77      316        5   41.2058  -33.6000  -56.3475   11.8001 
