 PNT     SGU         M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    0.0000      500      197      0.82       13       12   41.2058  -29.9900  -56.3475   11.8000 
   2    1.0000      500      211      0.80       88       22   41.2058  -29.9900  -56.3475   11.8000 
   3    2.0001      500      174      0.79     1534       42   41.2058  -29.9900  -56.3475   11.8001 
   4    2.9999      500      194      0.77     4284       61   41.2058  -29.9900  -56.3475   11.8001 
   5    3.9999      500      180      0.85     7826       65   41.2058  -29.9900  -56.3475   11.7999 
   6    4.9999      500      183      0.75     9341       97   41.2058  -29.9900  -56.3475   11.8000 
   7    6.0000      500      200      0.86    12273      113   41.2058  -29.9900  -56.3475   11.8002 
   8    7.0000      500      177      0.73    10466       83   41.2058  -29.9900  -56.3475   11.8000 
   9    8.0001      500      182      0.80    10644       92   41.2058  -29.9900  -56.3475   11.8001 
  10    9.0001      500      204      0.77     8348       77   41.2058  -29.9900  -56.3475   11.8000 
  11    9.9999      500      185      0.74     5878       76   41.2058  -29.9900  -56.3475   11.8001 
