 PNT     SGL         M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1   -7.0000      500      185      0.74      579       20   41.2058   60.0100  -56.3475   11.8009 
   2   -6.0000      500      216      0.84     2602       61   41.2058   60.0100  -56.3475   11.8002 
   3   -4.9999      500      162      0.75     5165       69   41.2058   60.0100  -56.3475   11.8001 
   4   -3.9999      500      165      0.80     8437       89   41.2058   60.0100  -56.3475   11.8002 
   5   -3.0001      500      190      0.79    10609      105   41.2058   60.0100  -56.3475   11.8002 
   6   -2.0001      500      209      0.84    12524      113   41.2058   60.0100  -56.3475   11.8002 
   7   -1.0000      500      196      0.77    11264      106   41.2058   60.0100  -56.3475   11.8002 
   8    0.0000      500      192      0.79    10063       76   41.2058   60.0100  -56.3475   11.8000 
   9    1.0000      500      208      0.85     8300       87   41.2058   60.0100  -56.3475   11.8002 
  10    2.0001      500      208      0.89     5340       83   41.2058   60.0100  -56.3475   11.8002 
  11    2.9999      500      219      0.89     1959       59   41.2058   60.0100  -56.3475   11.8002 
  12    3.9999      500      198      0.80      159       24   41.2058   60.0100  -56.3475   11.8001 
  13    4.9999      500      195      0.82       14       19   41.2058   60.0100  -56.3475   11.8003 
  14    6.0000      500      173      0.75        6        4   41.2058   60.0100  -56.3475   11.8003 
  15    7.0000      500      217      0.86        2        0   41.2058   60.0100  -56.3475   11.8001 
