 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3     A2        A3        A4        TT    
   1    2.0003    0.7002    0.0000    2.4982     5000     1929      8.38       44        8   37.9647  -15.5475  -57.9225   11.8000 
   2    1.9997    0.6997    0.0000    2.7495     5000     1858      7.96       55        7   37.6797  -15.8075  -57.6300   11.8003 
   3    1.9996    0.6996    0.0000    2.9989     5000     1867      7.82       82       13   37.4031  -16.0675  -57.3575   11.8002 
   4    1.9997    0.6997    0.0000    3.2496     5000     1958      7.92       89       13   37.1311  -16.3275  -57.0925   11.8002 
   5    1.9997    0.6997    0.0000    3.4999     5000     1884      7.79      122       14   36.8654  -16.5850  -56.8250   11.8001 
   6    1.9998    0.6997    0.0000    3.7486     5000     1868      7.70      173       11   36.6069  -16.8425  -56.5625   11.8000 
   7    1.9997    0.6997    0.0000    4.0000     5000     1772      7.67      278       17   36.3511  -17.0975  -56.2950   11.7999 
   8    1.9997    0.6997    0.0000    4.2489     5000     1820      7.55      347       14   36.1031  -17.3525  -56.0325   11.8001 
   9    1.9997    0.6997    0.0000    4.4993     5000     1806      7.51      383        6   35.8587  -17.6075  -55.7700   11.8004 
  10    1.9997    0.6996    0.0000    4.7476     5000     1770      7.48      335        8   35.6210  -17.8600  -55.5075   11.8002 
  11    1.9997    0.6997    0.0000    4.9977     5000     1729      7.41      237        9   35.3865  -18.1125  -55.2475   11.8004 
  12    1.9997    0.6996    0.0000    5.2476     5000     1671      7.25      187       19   35.1567  -18.3650  -54.9875   11.8003 
  13    1.9997    0.6997    0.0000    5.4989     5000     1729      7.37       96       13   34.9299  -18.6175  -54.7275   11.8006 
  14    1.9997    0.6996    0.0000    5.7481     5000     1705      7.13       77       11   34.7095  -18.8675  -54.4700   11.8004 
  15    1.9997    0.6998    0.0000    6.0009     5000     1619      7.04       68       12   34.4900  -19.1175  -54.2125   11.8003 
  16    1.9996    0.6997    0.0000    6.2481     5000     1747      7.04       50       11   34.2794  -19.3650  -53.9550   11.8002 
  17    1.9997    0.6997    0.0000    6.4993     5000     1626      6.79       54       13   34.0693  -19.6150  -53.7000   11.8000 
  18    1.9997    0.6996    0.0000    6.7468     5000     1645      6.94       54       12   33.8660  -19.8625  -53.4450   11.8000 
  19    1.9996    0.6996    0.0000    6.9969     5000     1566      6.68       52        9   33.6643  -20.1100  -53.1900   11.7999 
  20    1.9997    0.6997    0.0000    7.2502     5000     1648      6.74       37       19   33.4635  -20.3575  -52.9350   11.8000 
  21    1.9996    0.6997    0.0000    7.4974     5000     1562      6.54       47       15   33.2711  -20.6025  -52.6825   11.8000 
